id,estate,town,school,km,car_am_min,pt_am_min,adv_am_min,car_pm_min,pt_pm_min,adv_pm_min,adv_day_min,depart_car,depart_pt,arrive_car,arrive_pt,pt_walk_min,pt_wait_min,pt_transfers,car_raw_am,car_am_min_old135
15,Punggol – Northshore Drive,Punggol,Cedar Girls' Secondary School,9.86,32.8,48.0,15.2,32.4,51.4,19.0,34.2,06:57,06:42,16:32,16:51,24.3,4.0,1,23.7,37.0
16,Woodlands – Woodlands Street 83,Woodlands,Methodist Girls' School,12.23,39.9,67.8,27.9,32.7,68.1,35.4,63.3,06:50,06:22,16:33,17:08,33.2,5.5,2,29.7,45.1
17,Kallang/Whampoa – Lorong 3 Geylang,Kallang/Whampoa,Singapore Chinese Girls' School,5.17,17.7,29.8,12.1,20.1,28.4,8.3,20.4,07:12,07:00,16:20,16:28,15.8,2.6,1,10.8,19.6
18,Geylang – Aljunied Avenue 2,Geylang,Naval Base Secondary School,12.47,38.5,54.3,15.8,36.7,62.1,25.4,41.2,06:52,06:36,16:37,17:02,27.3,4.0,1,28.5,43.5
19,Bedok – Bedok South Avenue 2,Bedok,Peirce Secondary School,12.6,35.7,71.8,36.1,35.6,99.4,63.8,99.9,06:54,06:18,16:36,17:39,37.3,6.2,2,26.1,40.2
20,Punggol – Punggol Road,Punggol,Singapore Sports School,12.98,32.6,67.3,34.7,33.2,67.1,33.9,68.6,06:57,06:23,16:33,17:07,13.1,10.6,2,23.5,36.7
21,Sengkang – Fernvale Road,Sengkang,Changkat Changi Secondary School,10.52,34.0,64.4,30.4,31.7,60.4,28.7,59.1,06:56,06:26,16:32,17:00,18.1,6.7,2,24.7,38.3
22,Sembawang – Canberra Street,Sembawang,Yuhua Secondary School,16.45,51.4,69.5,18.1,50.8,63.3,12.5,30.6,06:39,06:20,16:51,17:03,16.0,6.1,2,39.5,58.3
23,Tengah – Tengah Garden Avenue,Tengah,Chij Saint Nicholas Girls' School,11.49,40.0,89.4,49.4,40.6,82.4,41.8,91.2,06:50,06:01,16:41,17:22,25.5,7.5,2,29.8,45.2
24,Sengkang – Fernvale Road,Sengkang,Victoria School,11.08,38.5,81.4,42.9,37.3,75.6,38.3,81.2,06:52,06:09,16:37,17:16,18.9,10.0,2,28.5,43.5
25,Tengah – Sungei Tengah Road,Tengah,Raffles Institution,13.18,38.8,99.9,61.1,39.7,84.5,44.8,105.9,06:51,05:50,16:40,17:24,35.8,6.8,2,28.8,43.9
26,Woodlands – Woodlands Drive 75,Woodlands,Kranji Secondary School,9.09,31.6,46.8,15.2,32.4,35.7,3.3,18.5,06:58,06:43,16:32,16:36,15.5,4.8,1,22.6,35.5
27,Sengkang – Fernvale Link,Sengkang,Zhenghua Secondary School,12.64,38.3,90.8,52.5,40.6,86.2,45.6,98.1,06:52,05:59,16:41,17:26,21.5,5.6,2,28.3,43.2
28,Tengah – Sungei Tengah Road,Tengah,Westwood Secondary School,4.22,22.3,43.0,20.7,21.6,44.8,23.2,43.9,07:08,06:47,16:22,16:45,18.3,0.0,0,14.7,24.8
29,Woodlands – Marsiling Rise,Woodlands,Assumption English School,7.92,26.5,48.9,22.4,29.0,49.6,20.6,43.0,07:04,06:41,16:29,16:50,12.0,6.3,2,18.3,29.7
30,Jurong East – Teban Gardens Road,Jurong East,Chua Chu Kang Secondary School,7.06,28.9,61.0,32.1,27.9,47.7,19.8,51.9,07:01,06:29,16:28,16:48,17.7,5.6,1,20.3,32.4
31,Bishan – Bishan Street 22,Bishan,Woodgrove Secondary School,9.3,29.4,38.9,9.5,31.4,47.5,16.1,25.6,07:01,06:51,16:31,16:48,15.4,5.1,1,20.8,33.1
32,Central Area – Upper Cross Street,Central Area,Saint Joseph'S Institution,4.65,19.2,31.8,12.6,19.7,31.2,11.5,24.1,07:11,06:58,16:20,16:31,15.9,0.0,0,12.1,21.3
33,Tengah – Sungei Tengah Road,Tengah,Commonwealth Secondary School,7.47,29.6,66.2,36.6,30.0,63.9,33.9,70.5,07:00,06:24,16:30,17:04,39.0,5.5,2,20.9,33.2
34,Tengah – Sungei Tengah Road,Tengah,Hua Yi Secondary School,4.73,23.2,63.1,39.9,22.6,64.1,41.5,81.4,07:07,06:27,16:23,17:04,20.5,3.8,1,15.5,25.9
35,Choa Chu Kang – Choa Chu Kang North 6,Choa Chu Kang,Serangoon Secondary School,17.38,50.2,83.3,33.1,51.2,76.8,25.6,58.7,06:40,06:07,16:51,17:17,15.3,9.9,2,38.5,57.0
36,Tengah – Sungei Tengah Road,Tengah,Yishun Town Secondary School,13.02,42.6,109.2,66.6,42.1,90.6,48.5,115.1,06:47,05:41,16:42,17:31,69.9,4.7,2,32.0,48.2
37,Jurong West – Jurong West Street 91,Jurong West,Yuying Secondary School,22.42,52.5,88.7,36.2,51.5,82.1,30.6,66.8,06:38,06:01,16:52,17:22,27.6,6.5,2,40.4,59.5
38,Sembawang – Canberra Street,Sembawang,Nanyang Girls' High School,13.35,46.6,67.3,20.7,45.1,71.4,26.3,47.0,06:43,06:23,16:45,17:11,24.6,6.9,2,35.4,52.8
39,Yishun – Yishun Street 22,Yishun,Unity Secondary School,10.89,40.2,41.8,1.6,39.7,38.7,-1.0,0.6,06:50,06:48,16:40,16:39,11.5,9.0,2,30.0,45.5
40,Tengah – Sungei Tengah Road,Tengah,Regent Secondary School,2.83,16.6,54.9,38.3,17.0,54.9,37.9,76.2,07:13,06:35,16:17,16:55,54.9,0.0,0,9.9,18.4
41,Serangoon – Serangoon Avenue 3,Serangoon,Greendale Secondary School,6.68,25.1,40.1,15.0,26.4,40.0,13.6,28.6,07:05,06:50,16:26,16:40,21.1,4.8,1,17.1,28.1
43,Ang Mo Kio – Ang Mo Kio Avenue 4,Ang Mo Kio,Beatty Secondary School,4.26,22.5,37.2,14.7,20.2,37.2,17.0,31.7,07:08,06:53,16:20,16:37,29.6,0.0,0,14.9,25.1
44,Geylang – Cassia Crescent,Geylang,Singapore Chinese Girls' School,6.3,22.0,36.5,14.5,24.8,39.1,14.3,28.8,07:08,06:54,16:25,16:39,18.0,2.9,1,14.5,24.6
45,Woodlands – Woodlands Drive 16,Woodlands,Tanjong Katong Secondary School,18.26,43.7,84.3,40.6,43.2,75.3,32.1,72.7,06:46,06:06,16:43,17:15,15.2,7.3,1,32.9,49.4
46,Punggol – Punggol Place,Punggol,Greendale Secondary School,1.16,10.1,17.6,7.5,10.4,17.6,7.2,14.7,07:20,07:12,16:10,16:18,17.6,0.0,0,4.3,10.8
