blk_no,street,town_code,town,lat,lon,total_dwelling_units,max_floor_lvl,year_completed
138A,LOR 1A TOA PAYOH,TP,TOA PAYOH,1.3367109851378602,103.84547294551099,246,42,2012
138A,YUAN CHING RD,JW,JURONG WEST,1.3279369648655601,103.72417824829999,172,22,2014
138B,LOR 1A TOA PAYOH,TP,TOA PAYOH,1.33626408939967,103.84562619138399,237,40,2012
138B,YUAN CHING RD,JW,JURONG WEST,1.3284151098431,103.72430414776501,170,22,2014
138C,LOR 1A TOA PAYOH,TP,TOA PAYOH,1.3362641367106398,103.844907413472,237,40,2012
138C,YUAN CHING RD,JW,JURONG WEST,1.3284379772764399,103.723795893377,172,22,2014
138D,YUAN CHING RD,JW,JURONG WEST,1.32846031138005,103.723287795397,168,22,2014
139,BEDOK RESERVOIR RD,BD,BEDOK,1.3346245335001898,103.91377767968399,108,10,1986
139,BEDOK NTH AVE 3,BD,BEDOK,1.3294100113062801,103.93539726954799,96,13,1978
139,BISHAN ST 12,BH,BISHAN,1.34524700566957,103.852692218003,16,4,1987
139,BT BATOK WEST AVE 6,BB,BUKIT BATOK,1.35110319953228,103.744169896472,64,4,1983
139,JLN BT MERAH,BM,BUKIT MERAH,1.27907853356835,103.82678528133499,102,15,1995
139,LOR 1A TOA PAYOH,TP,TOA PAYOH,1.33623419129907,103.844343000495,0,1,2012
139,LOR AH SOO,HG,HOUGANG,1.3522311107754998,103.884240123624,96,13,1984
139,MARSILING RD,WL,WOODLANDS,1.4377522668457299,103.777275768219,52,11,1984
139,PASIR RIS ST 11,PRC,PASIR RIS,1.36351798636352,103.959586721477,72,11,1993
139,PETIR RD,BP,BUKIT PANJANG,1.37534822344466,103.76965777289,132,12,1987
139,POTONG PASIR AVE 3,TP,TOA PAYOH,1.33327648926162,103.86611023058599,156,17,1984
139,RIVERVALE ST,SK,SENGKANG,1.3888701917064101,103.904295614592,63,17,1997
139,SERANGOON NTH AVE 2,SGN,SERANGOON,1.36878372952824,103.875412429109,84,13,1988
139,SIMEI ST 1,TAP,TAMPINES,1.3466835100041599,103.95656134788601,60,4,1987
139,TAMPINES ST 11,TAP,TAMPINES,1.34607675043696,103.944284625086,96,4,1983
139,TECK WHYE LANE,CCK,CHOA CHU KANG,1.3802268075053001,103.75257730815599,0,1,1989
139,YISHUN RING RD,YS,YISHUN,1.43165616021321,103.83131910710699,132,12,1984
139,YUAN CHING RD,JW,JURONG WEST,1.32805509671447,103.724465457178,0,1,2014
